,id,skills,edu_1,edu_2,edu_3,org_1,org_2,org_3,org_4,Target
10,l-sampath,Java JavaScript HTML SQL Python Programming Language CSS Android Data Analysis jQuery Machine Learning Python Microsoft Word Teamwork Algorithms OOP Program Development Microsoft PowerPoint Adobe Photoshop Adobe Premiere Pro                                            ,BSc Engineering  University of Moratuwa,GCE Advanced Level Mahinda College Galle, ,Software Engineer CodeGen International,Graduate University of Moratuwa,Internship Trainee CodeGen International,Director of IT Leo Club of University of Moratuwa ( UoM Leos ),Software Engineer
11,anantharajah-donoorkans-69019a88,Java Data Analysis Data Science Image Processing Machine Learning Deep Learning Python Arduino Matlab C SolidWorks Management FieldProgrammable Gate Arrays FPGA Analog Circuit Design LaTeX Proteus MikroC                                              ,Honours Degree of Bachelor of the Science of Engineering University of Moratuwa, jaffna college, ,Software Engineer ACCELR,Research And Development Intern SenzMate IoT Intelligence, , ,Software Engineer
12,gowsegan92,Laravel MySQL Angular                                                            ,BSc(Hons) Computer Science & Software Engineer SLIIT,Professional IT Nottingham Collage, ,Software Engineer RedBeryl IT,"Software Engineer Champ IT Solutions, Inc.",Software Engineer ISOFTFriends,Associate Software Engineer Innovay,Software Engineer
13,majurageerthan,Java JavaScript Android Development PHP HTML Cascading Style Sheets CSS Mobile Application Development HTML Software Development Programming SQL Bootstrap MySQL JavaServer Pages JSP FullStack Development Spring Framework ObjectOriented Programming OOP Android Nodejs Web Development React Native Spring MVC Mobile Applications Firebase BackEnd Web Development Serverless Computing Hibernate Algorithms Angular Vuejs Servlets Content Management Systems CMS AWS Elastic Beanstalk AWS Lambda Custom CMS Development                            ,Bachelor's degree of Engineering (BSc Eng.) University of Peradeniya, , ,Software Engineer Mitra Innovation,Associate Software Engineer Mitra Innovation,Software Engineer Intern hSenid Mobile Solutions (Pvt) Ltd, ,Software Engineer
14,mahesh-samarasinghe,Java JavaScript PHP C Leadership MySQL C Public Speaking ObjectOriented Programming OOP Microsoft Office Spring Boot Ubuntu Nodejs Web Development Research Teamwork Team Leadership C Angular AWS Lambda Customer Satisfaction Amazon Web Services AWS Customer Service                                        ,Bachelor’s Degree University of Sri Jayewardenepura,High School Thurstan College, ,Software Engineer 99X Technology,Trainee Software Engineer 99X Technology,Committee Member Society of Computer Science - University of Sri Jayewardenepura, ,Software Engineer
15,chamaraeranga,Java JavaScript PHP C HTML SQL Oracle Database MySQL JavaServer Pages JSP Public Speaking Spring Framework Shell Scripting Microsoft Office Spring Boot Git Web Design Microsoft Word Team Leadership C Management JavaSE Hibernate OOP Customer Service Java Enterprise Edition NET Embedded Systems JSP Maven Tomcat Jira Networking Java Applets Switching Thymeleaf Liquibase Redmine Microservices                         ,Bachelor's Degree Uva Wellassa University of Sri Lanka, Royal College Horana, ,Software Engineer Intervest Software Technologies (Private) Limited,Software Engineer Virtusa,Associate Software Engineer Virtusa,Trainee Software Engineer IntaHub Private Limited,Software Engineer
16,nadeera-sampath,JavaScript PHP Cascading Style Sheets CSS Mobile Application Development Laravel Software Development Python Programming Language Reactjs C Programming Language MySQL FullStack Development Nodejs Git TypeScript Ionic Framework Firebase C MongoDB Angular AWS Lambda Amazon S Electronjs CodeIgniter Swagger API Amazon Cognito NestJS Sequelizejs REST APIs TypeORM Hapijs Lumen Postman API Prisma GraphQL Amazon QuickSight SQLite PyQt Expressjs Heroku Fastify HarperDB Restify Supabase Moleculer Redis Alpine Couchbase Ottomanjs LoopBack Amazon Dynamodb             ,Certificate in python ESOFT Metro Campus,Diploma in Web Engineering  ESOFT Metro Campus, Dharmapala Vidyalaya,Software Engineer Helium Solutions,Full Stack Developer Siyaluma Corporation (PVT) LTD,Internship Trainee Infact Solutions (PVT) Ltd, ,Software Engineer
17,ashamad,Java JavaScript C Cascading Style Sheets CSS HTML Leadership Software Development Programming Python Programming Language Bootstrap MySQL CSS Public Speaking Microsoft Office AJAX jQuery Research Python Photoshop Windows Teamwork Management Algorithms Adobe Photoshop Customer Service JSP Software Engineering Sales tdd PLSQL Golang                                ,Master of Business Administration - MBA University of the West of England,Bachelor of Science(Hons) University of Colombo School of Computing, G/ Dharmasoka college,Head Of Operations WiXis 360,Senior Software Engineer Intellidocs ,Co-Founder w3tute.com,Member IEEE,Software Engineer
18,diluckshan-puviraj-578b8a120,Java JavaScript PHP Leadership Software Development Programming SQL Public Speaking RESTful WebServices Spring Framework ObjectOriented Programming OOP Spring Boot Linux PostgreSQL Web Development jQuery Spring MVC AngularJS Research Pentaho JSON ModelViewController MVC Microservices Amazon S CodeIgniter Postman API Mysql Javascript Html REST API Rest api JIRA ElasticSearch Kibana JPA JSON Web Token JWT java Spring Cloud XML Schema Definition XSD Wso ESB Spring Security Spring Data SpiderCraft                    ,Bachelor of Science (B.Sc.) Spl Uva Wellassa University of Sri Lanka, Manipay Hindu College, ,Software Engineer KPMG Technology Solutions (Pvt) Ltd,Associate Software Engineer Rezgateway,Software Engineering Intern Rezgateway,Member Uva Rayon | Media Club of Uva Wellassa University,Software Engineer
19,uddeepa-wijerathna-404648126,Java PHP HTML SQL Databases MySQL Microsoft Office Git Data Analysis Python Microsoft Excel Microsoft Word Management Data Mining Data Structures Kibana NoSQL Elasticsearch Discrete Mathematics Apache Kafka Play Framework Natural Language Processing NLP elasticserach                                        ," Visakha Vidyalaya,Colombo 05,Sri Lanka"," British Council, Sri Lanka",certificate in business accounting  Chartered Institute of Management Accountants (CIMA),Software Engineer Zilingo,Software Engineer Intern Creative Software, , ,Software Engineer
20,ashant,Java JavaScript Cascading Style Sheets CSS HTML Software Development MySQL Spring Boot AJAX jQuery Spring MVC Microsoft Word Team Leadership Cybersecurity Management Hibernate JSON XML Microsoft SQL Server Angular Microsoft PowerPoint Software Engineering JIRA Apache Kafka NetBeans Docker Jenkins JUnit IntelliJ IDEA Gitlab Positive Psychology Jasper Reports Mockito                               ,"MBCS BCS, The Chartered Institute for IT",Graduate Diploma Institute of Java & Software Engineering, ,Deputy Team Lead Dialog Axiata PLC,Senior Software Engineer Dialog Axiata PLC,Software Engineer Dialog Axiata PLC,Associate Software Engineer DataActs,Software Engineer
21,sashini-piyaratne-b62011b6,Java JavaScript PHP Cascading Style Sheets CSS HTML SQL MySQL C Microsoft Office Microsoft Excel Windows Scala Apache Spark                                                  ,Bachelor of Engineering - BEng University of Westminster, holy family convent dehiwala, ,Software Engineer BlackSwan Technologies,Software Engineer Zone24x7,Associate Software Engineer Zone24x7,Trainee Associate Software Engineer Zone24x7,Software Engineer
22,sachin-pramodya-ba3b69141,ObjectOriented Programming OOP Spring Boot Flutter java Angular python Kubernetes                                                        ,Bachelor of Computer Science and Technology  Uva Wellassa University of Sri Lanka, Kuliyapitiya Central College, ,Software Engineer Information and Communication Technology Agency of Sri Lanka,Software Engineer Softcodeit Solutions (Pvt) Ltd.,Associate Software Engineer Softcodeit Solutions (Pvt) Ltd.,Associate Software Engineer Softcodeit Solutions (Pvt) Ltd.,Software Engineer
23,asara-kumarasena,Java JavaScript PHP Laravel HTML MySQL C Nodejs MongoDB Postman API GraphQL Gitlab Troubleshooting Analytical Skills Debugging System Administration Root Cause Analysis c SketchUp Github Trello Operating Systems linux SoapUI Customer Support Sourcetree WSO ESB Problem Analysis                                   ,Bachelor of Scienece(Hon's) Information Technology University of Moratuwa, Rahula College - Matara,English Language British Council,Software Engineer WSO2,Software Engineering Trainee Arimac Digital, , ,Software Engineer
24,bhanukasiriwardana,Java JavaScript PHP Cascading Style Sheets CSS HTML Leadership Software Development Python Programming Language Reactjs MySQL C Shell Scripting Linux Flutter Android Nodejs Chess Spring MVC Team Leadership Firebase MongoDB Management Angular Amazon Web Services AWS Redis REST API Apache Kafka docker Vertx Rxjs Sentiment Analysis Web Crawling Work Life Balance Table Tennis Fantasy Football Dart                           ,BSc Engineering University of Moratuwa,"G.C.E. Advanced Level Examination Royal College, Colombo 07", ,Senior Software Engineer Yaala Labs,Software Engineer Yaala Labs,Software Engineering Trainee CodeGen International, ,Software Engineer
25,chaithika-abeywickrame-a03332105,Java JavaScript Android Development PHP HTML Cascading Style Sheets CSS Android Studio Communication HTML Leadership SQL Reactjs Bootstrap C ObjectOriented Programming OOP Microsoft Office Android Web Development Git java jQuery English SASS Microsoft SQL Server Adobe Photoshop GraphQL Gitlab Github Digital Marketing Social Media Marketing Version Control PhpMyAdmin Adobe Experience Design LESS Stylesheet Language Java Swing Team Coordination Self Learning Umbraco                         ,BSc in Software Engineering Curtin University,Higher National Diploma in Information Technology SLIIT,Advance level Demazenod college,Senior Associate Acuity Knowledge Partners,Software Engineer - (Frontend) ISM APAC,Software Engineer - (Frontend) Sana Commerce,Junior Software Engineer - (Front End) ISM APAC,Software Engineer
26,sandushi-dileka,Java PHP C Communication HTML Leadership Programming SQL Reactjs MySQL Web Development Machine Learning Teamwork Firebase MongoDB NoSQL Self Learning                                              , University of Peradeniya," Rajapaksa Central College, Sri Lanka", Southlands College,Software Engineer Rhino Partners,Software Engineer Intern Rhino Partners,Casual Instructor Computer Engineering Department, ,Software Engineer
27,htruchiragamage,Java JavaScript C Cascading Style Sheets CSS HTML Leadership SQL Public Speaking Spring Framework Microsoft Office Android Git Project Management SASS XML Angular Natural Language Processing NLP c net core Artificial Neural Networks                                           ,Bachelor of Science Honours in Information Technology University of Moratuwa, Richmond College, ,Software Engineer CodeGen International,Software Engineering Trainee SimCentric Technologies, , ,Software Engineer
28,amilapathirana1,Java PHP C HTML Leadership MySQL Public Speaking Microsoft Office Research Microsoft Excel Microsoft Word PowerPoint Project Management Management Hibernate OOP Customer Service NET Embedded Systems JSP Strategic Planning Social Media                                         ,Master's degree University of Colombo School of Computing,Bachelor's Degree Uva Wellassa University of Sri Lanka," St.Joseph's College, Colombo",Software Engineer Intervest Software Technologies (Private) Limited,Software Engineer SYNAPSYS LTD,Trainee Software Engineer OMAK Technologies (Pvt) Ltd, ,Software Engineer
29,iabu94,JavaScript HTML Cascading Style Sheets CSS HTML SQL ASPNET Core NET Core NET Framework ASPNET MVC MySQL C ASPNET Web API angular jQuery AngularJS TypeScript Visual Studio Teamwork Management JSON Microsoft SQL Server Microsoft Azure Entity Framework Amazon Web Services AWS Docker Entity Framework EF Core Windows Communication Foundation WCF SQL Server Reporting Services SSRS Azure DevOps Angular NgRx RxJS Dapper ORM Azure DevOps Server Internet Information Services IIS Windows Services                           ,Software Engineering University of Kelaniya Sri Lanka,Full Stack Web Development Certification freeCodeCamp, ,Senior Software Engineer Mitra Innovation,Software Engineer Virtusa,Software Engineering Trainee METATECHNO LANKA COMPANY (PRIVATE) LIMITED, ,Software Engineer
30,yachitha-sandaruwan,Java Android Development C Laravel Leadership Programming Reactjs Public Speaking PostgreSQL Android Research Windows Teamwork Firebase Project Management Management Vuejs Customer Service Networking REST APIs DecisionMaking Strategic Thinking Strategic Planning Social Media Agile Software Development Resiliency Diversity Inclusion                                    ,Honers Degree In Bachelor of Science In Information Technology University of Moratuwa,CCNA R&S Vocational Training Authority of Sri Lanka, Richmond College,Software Engineer Rootcode Labs,Software Engineer Octopus Retail Management,Student Self employed,Software Engineering Trainee Octopus Retail Management,Software Engineer
31,thineshan,Java JavaScript PHP HTML Communication Leadership Python Programming Language Bootstrap MySQL CSS Presentation Skills Microsoft Office Spring Boot PostgreSQL Image Processing Machine Learning Microsoft Word Teamwork Cloud Computing Hibernate Data Mining Angular Swagger API REST APIs Kibana Spring Data Elasticsearch Docker Kubernetes Analytical Skills Spring Core Flask Go Programming Language                              ,"BSc Eng.(Hons), Computer Science & Engineering University of Moratuwa","Student, Secondary School Jaffna Hindu College","Student, Primary Education St.John Bosco's Vidyalayam",Software Engineer Cloud Solutions International,Software Enginner - Intern Virtusa, , ,Software Engineer
32,chathura-samarajeewa,Java JavaScript Android Development Cascading Style Sheets CSS Software Development Python Programming Language Reactjs MySQL RESTful WebServices Nodejs React Native java AngularJS Angular Material Machine Learning Mobile Applications Firebase C ModelViewController MVC CodeIgniter Computer Networking react native Java Database Connectivity JDBC Cisco Routers codeigniter LAN Switching Cisco Networking                                    , Zero To Mastery Academy, Cisco Networking Academy, Industrial Master,Tutor Open University of Sri Lanka,Software Engineer HCL Technologies,Temporary Demonstrator Vavuniya Campus of the University of Jaffna, ,Software Engineer
33,kajanan,Java JavaScript Android Development PHP HTML Android Studio Laravel Leadership SQL ASPNET MVC MySQL Core Java C ASPNET Web API Spring Boot AngularJS Teamwork Team Leadership Team Management Microservices REST APIs Docker DecisionMaking Java Database Connectivity JDBC                                       ,"student Jaffna Hindu College,Jaffna.",Bachelor of Science(Special) in Computer Science and Technology. Uva Wellassa University of Sri Lanka, ,Software Engineer Virtusa,Associate Software Engineer Virtusa,Software Engineer Intern BLUE LOTUS 360, ,Software Engineer
34,gaya-sri-harshana,Java PHP Leadership Microsoft Office Spring Boot PostgreSQL Python Teamwork Jasper Reports Talend Swift                                                    , Wisdom Business Academy," Ananda College, Chilaw", The Chartered Institute of Management Accountants,Software Engineer Persistent Systems,Big Data Engineer-Intern Mobitel (Pvt) Ltd, , ,Software Engineer
35,nalakasenarathna,Computer Science Java JavaScript PHP C HTML Leadership Programming MySQL Core Java Public Speaking ObjectOriented Programming OOP Chess Research Machine Learning Arduino Microsoft Excel Microsoft Word PowerPoint C Management Customer Service Robotics Bioinformatics Computer Graphics Artificial Intelligence Wordpress Development GitHub Digital Image Processing Haskell Flute Commitment towards work Behavior Analysis                              , R/ ANANDA MITHREYA CENTRAL COLLEGE, R/BUDHDHA JAYANTHI CENTRAL COLLEGE,Cybercity VISA The FOURTH R,Software Engineer Mitra Innovation,Software Engineer WSO2,Associate Software Engineer WSO2,Junior Treasurer Computer Society,Software Engineer
36,saleemdeensafras,Information Technology NET Core NET Framework C Microsoft Office Research Microsoft Excel Team Leadership Project Management Microsoft PowerPoint                                                     ,Bachelor of Industrial Information Technology Uva Wellassa University of Sri Lanka, , ,Software Engineer HCL Sri Lanka,Software Engineer CODEZYNC,Associate Software Engineer CODEZYNC,Intern CODEZYNC,Software Engineer
37,97kasunjay,Java JavaScript Android Development SQL Python Programming Language Reactjs Oracle Database ASPNET ASPNET MVC MySQL Spring Framework Nodejs React Native Machine Learning Angular NoSQL Django                                              ,Bachelor of Engineering Staffordshire University,Bachelor's degree Asia Pacific University of Technology and Innovation (APU / APIIT),Cambridge O Level & Cambridge International A Level Royal Institute International School,Software Engineer ,Software Engineer IFS,Intern Pearson, ,Software Engineer
38,thiviya-thuraisingham,Java JavaScript PHP HTML C Cascading Style Sheets CSS Bootstrap MySQL C JavaServer Pages JSP Microsoft Office Spring Boot Nodejs Angular Material Visual Studio Firebase C Hibernate XML Tortoise SVN Angular Vuejs Postman API Jasper Reports Magento XSLT Visual Basic Crystal Reports KnockoutJS Cryptography OOAD WAMP XAMPP                              ,BSc Special in Computer Science and Technology Uva Wellessa University of Srilanka, , ,Software Engineer KochaSoft Inc,Associate Software Engineer CN GLOBAL PTY LTD,Software Engineer Intern LOLC Technologies Limited, ,Software Engineer
39,tharindu-jayarathna,Java JavaScript Android Development PHP Android Studio Reactjs MySQL Microsoft Office Nodejs Web Development Image Processing Symfony Framework Raphael JS                                                  , University of Ruhuna, Sivali central collage, ,Software Engineer Axiata Digital Labs,Trainee Effective Solutions Pvt Ltd,Trainee Institute of Java & Software Engineering, ,Software Engineer
40,sujith-jeewantha,Java Android Development PHP HTML Cascading Style Sheets CSS Android Studio Laravel Python Programming Language Bootstrap Databases NET Framework ASPNET MySQL C Flutter Web Development Arduino Visual Studio C Microsoft SQL Server AutoCAD Adobe Photoshop REST APIs SQLite Gitlab Azure DevOps GitHub Crystal Reports Internet of Things IoT Web Services Postman Django REST Framework Desktop Application Development OpenSuse                             , Sri Lanka Institute of Advanced Technological Education (SLIATE), Badulla Central College, ,Software Engineer E-Green,Software Developer Incarnate,Mobile Application Developer iimsol AB,Junior Software Developer eLogic Lanka (PVT) LTD,Software Engineer
41,kaushalya-cooray,JavaScript PHP HTML Cascading Style Sheets CSS Laravel HTML SQL Bootstrap MySQL Microsoft Office Web Design AJAX jQuery WordPress Microsoft Excel Microsoft Word Microsoft PowerPoint Adobe Photoshop CodeIgniter Responsive Web Design                                           ,"NVQ 4 College of Technology, Galle",NVQ 4 National Apprentice and Industrial Training Authority (NAITA), Sivali Central College - Ratnapura,Software Engineer Marpak (Pvt) Ltd,Web Developer NSOFT Solutions (Pvt) Ltd,Trainee Software Developer Ceylon Linux, ,Software Engineer
42,harshanaerandaperera,Java JavaScript Leadership Software Development Reactjs NET Framework MySQL C FullStack Development Linux Nodejs Git Machine Learning Python Teamwork Cloud Computing Agile Methodologies Microsoft SQL Server Microsoft Azure AWS Lambda Amazon Web Services AWS JIRA NoSQL Docker Jenkins Digital Marketing Entity Framework EF Core Web Services                                   ,BEng (Hons) Software Engineering Sheffield Hallam University,Associate's degree SLIIT, Bandaranayake College - Gampaha,Software Engineer 99X,Engineer-Technology Virtusa, , ,Software Engineer
43,madusha-ravishani-6a3422182,Java JavaScript PHP C Laravel HTML Reactjs MySQL C Flutter angular Python C MongoDB CodeIgniter                                                ,Bachelor of Science in Computer Science & Technology Uva Wellassa University of Sri Lanka," Prajapathi Gothami Girls College,Ambalangoda", ,Associate Software Engineer Project X Space,Software Engineer Intern Project X Space,IT Trainee Sri Lanka Telecom, ,Software Engineer
44,salinda-krishan-16a196b4,Java JavaScript PHP C Cascading Style Sheets CSS Android Studio HTML Programming MySQL C Shell Scripting Microsoft Office Linux Python Arduino Microsoft Word PowerPoint Windows Neural Networks CLIPS UnityD Eclipse MIPS Assembly Object C Convolutional Neural Networks CNN                                      ,Bachelor’s Degree Uva Wellassa University of Sri Lanka,High School Badulla Central College, ,Senior Software Engineer Rhino Partners,Software Engineer Rhino Partners,Software Engineer Softcodeit Solutions (Pvt) Ltd.,Associate Software Engineer Softcodeit Solutions (Pvt) Ltd.,Software Engineer
45,haritha-perera-239053140,Java JavaScript PHP HTML Cascading Style Sheets CSS HTML Leadership Software Development Programming SQL MySQL C ObjectOriented Programming OOP Microsoft Office Linux Android Web Development AJAX jQuery AngularJS Microsoft Excel Microsoft Word Windows Teamwork Team Leadership Project Management C Management JavaFX XML Microsoft SQL Server Microsoft PowerPoint Adobe Photoshop Photography Travel Photography                            ,"Ordinary Lavel,student  Taxila Central College ", DON Pedrick College Horana, Gonapola Central College,Software Engineer Dialog Axiata PLC,Internship Trainee Texonic Infomation Systems (Pvt) Ltd,Student IJSE-Institute of Software Engineering,Graduate Student IJSE-Institute of Software Engineering,Software Engineer
46,chamlokuge,Java JavaScript PHP C Cascading Style Sheets CSS HTML SQL Reactjs Bootstrap MySQL Nodejs Teamwork Ionic Framework Agile Methodologies MongoDB Angular Hyperledger Hyperledger Blockchain Development                                             ,Honours Degree of Bachelor of Science in Information Technology University of Moratuwa," St.Joseph's Convent, Kegalle", ,Software Engineer Thirdfort Limited,Rotaractor Rotaract Club of University of Moratuwa,Software Engineering Trainee WSO2, ,Software Engineer
47,yoshan-amarathunga,Java JavaScript Android Development HTML Android Studio HTML Programming SQL Bootstrap MySQL FullStack Development RESTful WebServices Spring Boot Linux Flutter Nodejs Web Development Web Design jQuery Spring MVC TypeScript Bitbucket Firebase Google Maps API Google Cloud Platform GCP Database Development JavaSE Hibernate Angular OOP Java Enterprise Edition Microservices NoSQL Jenkins JUnit Kubernetes Github Web Services Responsive Web Design Object Oriented Design Test Driven Development UML Unified Modeling Language UML Google Kubernetes Engine GKE Docker Products Node Facebook API DBMS Web Servers Continuous Integration and Continuous Delivery CICD             , Institute of Software Engineering," BCS, The Chartered Institute for IT", ,Software Engineer Finetech : Google Cloud Premier Partner, , , ,Software Engineer
48,senith-dilitha-0b2315166,Java Python Programming Language ObjectOriented Programming OOP C Management Telecommunications                                                         ,Bachelor's degree University of Moratuwa,"G.C.E AL Loyola College, Negombo", ,Software Engineer Creative Software,"Assitant Teacher - Physics , Applied Maths (Volunteer) Loyola College","Engineering Trainee Huawei Technologies Lanka Co., (Pvt) Ltd.", ,Software Engineer
49,yashith-chanuka-0897a3173,Java JavaScript PHP HTML Cascading Style Sheets CSS Mobile Application Development Leadership Software Development Programming Python Programming Language Bootstrap MySQL JavaServer Pages JSP FullStack Development Spring Framework ObjectOriented Programming OOP Spring Boot Nodejs React Native Git jQuery AngularJS TypeScript Teamwork Google Maps API BackEnd Web Development JavaFX ModelViewController MVC Servlets AWS Lambda Amazon Web Services AWS Expressjs Product Development Semantic UI Selenium SendGrid Amazon Aurora Web Scraping Socket Programming                        ,"BCS Reading BCS, The Chartered Institute for IT",Graduate Diploma in Software Engineering Institute of Java & Software Engineering, G/Dharmasoka college-Ambalangoda,Software Engineer AkvaSoft,Associate Software Engineer AkvaSoft,Internship Trainee AkvaSoft, ,Software Engineer
50,indika-kumara,Java JavaScript HTML Cascading Style Sheets CSS MySQL Spring Boot Flutter Git TypeScript Microsoft Visual Studio Code MongoDB JSON Angular Jira Microservices GraphQL NetBeans Docker IntelliJ IDEA Kubernetes LoopBack                                          ,Engineer’s Degree University of Peradeniya,GCE Advanced Level  Siridhamma College, ,Software Engineer HaulMatic Technologies (Pvt.) Ltd.,Software Engineer Epic Lanka,Software Engineer Zincat Technologies,Software Engineer Data Management Systems(Pvt)Ltd - Software Division,Software Engineer
51,selandeemantha,Java JavaScript Android Development HTML Cascading Style Sheets CSS Mobile Application Development Leadership Programming SQL MySQL JavaServer Pages JSP Public Speaking FullStack Development Spring Framework ObjectOriented Programming OOP Microsoft Office Spring Boot Flutter Web Development Git AJAX jQuery Spring MVC Angular Material TypeScript Research Teamwork Team Leadership Mobile Applications Management Angular Maven Jira Jenkins Dart Strategic Planning Public Relations Report Writing OS X Oracle SQL Developer Team Building                      ,Computer Science  Uva Wellassa University," Rajapaksha Central College, Physical Sciences Extream", ,Software Engineer CodeGen International,Associate Software Engineer CodeGen International,Software Engineering Trainee CodeGen International, ,Software Engineer
52,ishanisamaraweera,Java JavaScript PHP C HTML Leadership Software Development Web Applications Programming SQL MySQL C JavaServer Pages JSP ObjectOriented Programming OOP Microsoft Office Linux Ubuntu Python Photoshop Microsoft Excel Microsoft Word PowerPoint Windows Teamwork Project Management Network Security C MongoDB XML Microsoft SQL Server Data Structures Algorithms Microsoft PowerPoint Adobe Photoshop MIPS Assembly Graphic Design R MSSQL Corel Draw GNU Octave Dr Racket                      , Sangamitta Girls' College,"Computer Technology part I, II, III Neural Gate Technologies",Graphic Design Sampath Institute Galle,Software Engineer Aeturnum,Freelance Software Developer Fiverr,Software Engineer Epic Lanka,Associate Software Engineer Epic Lanka Group,Software Engineer
